year,month,commodity_group,cpi_value,inflation_rate_pct
2021,10,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",109.1,2.1
2021,10,HEALTH,113.1,3.7
2021,10,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",107.2,4.3
2021,10,INFORMATION AND COMMUNICATION,101.7,0.6
2021,10,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",107.7,2.1
2021,10,"RECREATION, SPORT AND CULTURE",105.3,1.6
2021,10,RESTAURANTS AND ACCOMMODATION SERVICES,110.3,3.8
2021,10,TRANSPORT,115.1,7.6
2021,11,ALCOHOLIC BEVERAGES AND TOBACCO,143.8,6.9
2021,11,ALL ITEMS,110.2,3.7
2021,11,CLOTHING AND FOOTWEAR,107.6,2.0
2021,11,EDUCATION SERVICES,107.3,0.7
2021,11,FINANCIAL SERVICES,143.3,43.3
2021,11,FOOD AND NON-ALCOHOLIC BEVERAGES,109.3,2.2
2021,11,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",109.3,2.1
2021,11,HEALTH,113.3,3.6
2021,11,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",108.0,4.8
2021,11,INFORMATION AND COMMUNICATION,101.7,0.6
2021,11,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",107.9,2.2
2021,11,"RECREATION, SPORT AND CULTURE",105.4,1.6
2021,11,RESTAURANTS AND ACCOMMODATION SERVICES,110.3,3.7
2021,11,TRANSPORT,116.7,9.8
2021,12,ALCOHOLIC BEVERAGES AND TOBACCO,144.3,6.2
2021,12,ALL ITEMS,110.5,3.1
2021,12,CLOTHING AND FOOTWEAR,107.7,1.9
2021,12,EDUCATION SERVICES,107.3,0.7
2021,12,FINANCIAL SERVICES,143.3,43.3
2021,12,FOOD AND NON-ALCOHOLIC BEVERAGES,110.1,1.6
2021,12,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",109.4,2.1
2021,12,HEALTH,113.4,3.2
2021,12,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",108.5,5.1
2021,12,INFORMATION AND COMMUNICATION,101.8,0.6
2021,12,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",108.0,2.1
2021,12,"RECREATION, SPORT AND CULTURE",105.5,1.6
2021,12,RESTAURANTS AND ACCOMMODATION SERVICES,110.4,3.2
2021,12,TRANSPORT,115.0,6.6
2022,1,ALCOHOLIC BEVERAGES AND TOBACCO,145.3,5.6
2022,1,ALL ITEMS,111.7,3.0
2022,1,CLOTHING AND FOOTWEAR,108.0,2.0
2022,1,EDUCATION SERVICES,107.3,0.6
2022,1,FINANCIAL SERVICES,143.3,43.3
2022,1,FOOD AND NON-ALCOHOLIC BEVERAGES,112.6,1.7
2022,1,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",110.0,2.4
2022,1,HEALTH,113.8,3.1
2022,1,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",108.7,4.5
2022,1,INFORMATION AND COMMUNICATION,101.9,0.7
2022,1,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",108.5,2.2
2022,1,"RECREATION, SPORT AND CULTURE",105.7,1.5
2022,1,RESTAURANTS AND ACCOMMODATION SERVICES,110.7,3.0
2022,1,TRANSPORT,116.4,7.0
2022,2,ALCOHOLIC BEVERAGES AND TOBACCO,145.9,4.7
2022,2,ALL ITEMS,111.8,3.0
2022,2,CLOTHING AND FOOTWEAR,108.1,1.9
2022,2,EDUCATION SERVICES,107.3,0.6
2022,2,FINANCIAL SERVICES,143.3,43.3
2022,2,FOOD AND NON-ALCOHOLIC BEVERAGES,111.6,1.2
2022,2,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",110.1,2.3
2022,2,HEALTH,113.9,2.7
2022,2,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",109.3,4.8
2022,2,INFORMATION AND COMMUNICATION,101.9,0.6
2022,2,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",108.8,2.2
2022,2,"RECREATION, SPORT AND CULTURE",106.0,1.6
2022,2,RESTAURANTS AND ACCOMMODATION SERVICES,111.1,2.9
2022,2,TRANSPORT,118.4,8.8
2022,3,ALCOHOLIC BEVERAGES AND TOBACCO,147.2,4.8
2022,3,ALL ITEMS,112.5,4.0
2022,3,CLOTHING AND FOOTWEAR,108.4,1.9
2022,3,EDUCATION SERVICES,107.3,0.6
2022,3,FINANCIAL SERVICES,143.3,43.3
2022,3,FOOD AND NON-ALCOHOLIC BEVERAGES,111.7,2.6
2022,3,"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",110.5,2.6
2022,3,HEALTH,114.1,2.5
2022,3,"HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",110.8,6.2
2022,3,INFORMATION AND COMMUNICATION,102.0,0.7
2022,3,"PERSONAL CARE, AND MISCELLANEOUS GOODS AND SERVICES",109.0,2.2
2022,3,"RECREATION, SPORT AND CULTURE",106.0,1.5
2022,3,RESTAURANTS AND ACCOMMODATION SERVICES,111.4,3.0
2022,3,TRANSPORT,121.8,10.3
2022,4,ALCOHOLIC BEVERAGES AND TOBACCO,149.2,5.9
2022,4,ALL ITEMS,113.4,4.9
2022,4,CLOTHING AND FOOTWEAR,108.6,2.0
2022,4,EDUCATION SERVICES,107.3,0.6
2022,4,FINANCIAL SERVICES,143.3,0.0
